id,category,parent,keywords,example
1,driver,0,"['usb-drives','on-board','spi','hardware']",
2,system,0,"['gateway','linux-kernel','recyclerview-adapter','virtual machine','kernel','container']","system software, os"
3,programming,0,"['decompiler','memory leak detection','code fixer','dependency manager','compiler','static analysis','programming','code-analysis']","programming tool, language runtime, compiler, run-time environments"
4,middleware,0,"['front end framework','game-development','util','managing javascript','patcher','error report','configuration file','codify api','developer experience','framework','utility library','algorithm','data structure','modules','compliant api','microservice']","dependence manager, framework, common libraries"
5,end-user application,0,"['tool','mobile','ios app','desktop-application','library','toolkit']",
6,word process,5,"['text-editor','fonts','editor','documentation']","Google Docs, Microsoft Word, WordPad and Notepad"
7,database,5,"['object storage','database','mysql','storage library','datastore']","MySQL, Microsoft SQL Server, Microsoft Access, Oracle, IBM DB2 and FoxPro"
8,spreadsheet,5,['build form'],"Google Sheets, Apple Numbers and Microsoft Excel"
9,multimedia,5,"['live-streaming','directshow','video player','ffmpeg','streaming','youtube']","Media Player, Winamp, QuickTime and VLC Media Player"
10,presentation,5,"['charts','presentation']","Google Slides, Microsoft Powerpoint, Keynotes, Prezzy"
11,enterprise,5,"['enterprise','virtual dom','odoo']","customer relationship management (CRM) software (HubSpot, Microsoft Dynamic 365)), project management tools (Jira, Monday), marketing automation tools (Marketo, HubSpot), enterprise resource planning (ERP) software (SAGE, Oracle, Microsoft Dynamics), treasury management system (TMS) software (SAP S/4HANA Finance, Oracle Treasury), business intelligence (BI) software (SAP Business Intelligence, MicroStrategy, Microsoft Power BI)"
12,information worker,5,"['configuration management','cheatsheet','workflow']","Documentation tools, resource management tools"
13,communication,5,"['wechat','facebook','social-network','event bus','messenger','messaging']","Zoom, Google Meet, Skype"
14,education,5,"['education','learning material','practical guide','design pattern','style guide','a collection','examples','coding guideline','best-practices','jupyter notebook','handbook','tutorial','sample code']","Dictionaries ? Encarta, Britannica; Mathematical: MATLAB; Others: Google Earth, NASA World Wind"
15,simulation,5,['emulator package'],Flight and scientific simulators
16,content Access,5,"['client','barcode scanning','cloud storage','powershell','command-line','file uploader' 'datawork','downloader','download utility','bash']","Accessing content through media players, web browsers"
17,application suites,5,"['package manager','widgets','plugin manager','version management']","Apache OpenOffice, Microsoft Office365, Apple?s iWork, LibreOffice, G-Suite, Oracle E-Business Suite"
18,email,5,['mail app'],"Microsoft Outlook, Gmail, Apple Mail"
19,engineering and development,5,"['benchmarking','developer friendly','code editor','development','git hook', 'gitlab','code searching','buildpack','code formatter']","IDE, package manager, "
