language_count,distribution,project_count
3,0.1661251015434606,2454
11,0.014757649607365286,218
1,0.18331979420525318,2708
4,0.13302193338748985,1965
7,0.04901164365014893,724
5,0.10174654752233957,1503
9,0.026604386677497968,393
6,0.07209585702680747,1065
12,0.01306525859734633,193
2,0.17492553479555917,2584
8,0.03906038451123748,577
10,0.01949634443541836,288
35,0.00027078256160303275,4
14,0.006566477118873545,97
13,0.008935824532900082,132
22,0.0012185215272136475,18
18,0.003113999458434877,46
31,0.0004738694828053073,7
20,0.002166260492824262,32
15,0.005009477389656106,74
17,0.0033170863796371515,49
23,0.0007446520444083401,11
21,0.002098564852423504,31
16,0.004061738424045491,60
19,0.002098564852423504,31
25,0.0006769564040075819,10
24,0.00033847820200379094,5
41,0.00027078256160303275,4
111,6.769564040075819e-05,1
38,0.00020308692120227456,3
26,0.00040617384240454913,6
32,0.00033847820200379094,5
48,6.769564040075819e-05,1
29,0.00020308692120227456,3
37,6.769564040075819e-05,1
188,6.769564040075819e-05,1
28,0.0004738694828053073,7
34,0.00027078256160303275,4
33,0.00027078256160303275,4
62,6.769564040075819e-05,1
66,6.769564040075819e-05,1
30,0.00027078256160303275,4
27,0.0005415651232060655,8
82,6.769564040075819e-05,1
43,0.00020308692120227456,3
53,6.769564040075819e-05,1
49,6.769564040075819e-05,1
47,0.00013539128080151638,2
73,6.769564040075819e-05,1
40,0.00013539128080151638,2
46,6.769564040075819e-05,1
54,6.769564040075819e-05,1
